图片编号,图片类型,所属主题文档,正文引用位置,图片存储路径,OCR文本,人工校对文本,图片说明,是否入库,备注
IMG_001,待分类,,,知识库整理成果/_extracted/images/IMG_001.png,,,,待定,从DOCX内嵌图片提取
IMG_002,待分类,,,知识库整理成果/_extracted/images/IMG_002.png,,,,待定,从DOCX内嵌图片提取
IMG_003,待分类,,,知识库整理成果/_extracted/images/IMG_003.png,,,,待定,从DOCX内嵌图片提取
IMG_004,待分类,,,知识库整理成果/_extracted/images/IMG_004.png,,,,待定,从DOCX内嵌图片提取
IMG_005,待分类,,,知识库整理成果/_extracted/images/IMG_005.png,,,,待定,从DOCX内嵌图片提取
IMG_006,待分类,,,知识库整理成果/_extracted/images/IMG_006.png,,,,待定,从DOCX内嵌图片提取
IMG_007,待分类,,,知识库整理成果/_extracted/images/IMG_007.png,,,,待定,从DOCX内嵌图片提取
IMG_008,待分类,,,知识库整理成果/_extracted/images/IMG_008.png,,,,待定,从DOCX内嵌图片提取
